match_id,competition,competition_code,utc_date,status,home_team,away_team,home_score,away_score
558591,Serie A,SA,2026-09-20T10:30:00Z,TIMED,ACF Fiorentina,SSC Napoli,,
564697,Primera Division,PD,2026-09-20T12:00:00Z,TIMED,Getafe CF,Málaga CF,,
558590,Serie A,SA,2026-09-20T13:00:00Z,TIMED,Parma Calcio 1913,Genoa CFC,,
560582,Premier League,PL,2026-09-20T13:00:00Z,TIMED,AFC Bournemouth,Liverpool FC,,
558592,Serie A,SA,2026-09-20T13:00:00Z,TIMED,Frosinone Calcio,Como 1907,,
560585,Premier League,PL,2026-09-20T13:00:00Z,TIMED,Leeds United FC,Crystal Palace FC,,
559676,Ligue 1,FL1,2026-09-20T13:00:00Z,TIMED,AJ Auxerre,Stade Brestois 29,,
560590,Premier League,PL,2026-09-20T13:00:00Z,TIMED,Manchester City FC,Sunderland AFC,,
565807,Bundesliga,BL1,2026-09-20T13:30:00Z,TIMED,Bayer 04 Leverkusen,RB Leipzig,,
564688,Primera Division,PD,2026-09-20T14:15:00Z,TIMED,Club Atlético de Madrid,Real Madrid CF,,
559678,Ligue 1,FL1,2026-09-20T15:15:00Z,TIMED,OGC Nice,Lille OSC,,
565805,Bundesliga,BL1,2026-09-20T15:30:00Z,TIMED,FC Schalke 04,SV 07 Elversberg,,
560583,Premier League,PL,2026-09-20T15:30:00Z,TIMED,Fulham FC,Manchester United FC,,
558595,Serie A,SA,2026-09-20T16:00:00Z,TIMED,Juventus FC,Atalanta BC,,
564696,Primera Division,PD,2026-09-20T16:30:00Z,TIMED,Villarreal CF,Levante UD,,
564695,Primera Division,PD,2026-09-20T16:30:00Z,TIMED,RC Deportivo La Coruña,Real Betis Balompié,,
565803,Bundesliga,BL1,2026-09-20T17:30:00Z,TIMED,SC Paderborn 07,TSG 1899 Hoffenheim,,
558597,Serie A,SA,2026-09-20T18:45:00Z,TIMED,AC Milan,US Lecce,,
559675,Ligue 1,FL1,2026-09-20T18:45:00Z,TIMED,Olympique de Marseille,Paris Saint-Germain FC,,
564689,Primera Division,PD,2026-09-20T19:00:00Z,TIMED,Valencia CF,Real Sociedad de Fútbol,,
