match_id,competition,competition_code,utc_date,status,home_team,away_team,home_score,away_score
559696,Ligue 1,FL1,2026-09-03T18:45:00Z,TIMED,Toulouse FC,Lille OSC,,
564682,Primera Division,PD,2026-09-03T19:00:00Z,TIMED,Real Sociedad de Fútbol,RC Celta de Vigo,,
559699,Ligue 1,FL1,2026-09-04T17:00:00Z,FINISHED,Olympique Lyonnais,AJ Auxerre,3.0,1.0
565791,Bundesliga,BL1,2026-09-04T18:30:00Z,FINISHED,VfB Stuttgart,1. FC Köln,4.0,1.0
558609,Serie A,SA,2026-09-04T18:45:00Z,FINISHED,Genoa CFC,Como 1907,1.0,4.0
564667,Primera Division,PD,2026-09-04T19:00:00Z,FINISHED,Real Betis Balompié,Real Madrid CF,1.0,0.0
560566,Premier League,PL,2026-09-04T19:00:00Z,FINISHED,Ipswich Town FC,Liverpool FC,0.0,2.0
559697,Ligue 1,FL1,2026-09-04T19:05:00Z,FINISHED,Paris Saint-Germain FC,AS Monaco FC,1.0,2.0
560571,Premier League,PL,2026-09-05T11:30:00Z,TIMED,Newcastle United FC,AFC Bournemouth,,
558616,Serie A,SA,2026-09-05T13:00:00Z,TIMED,ACF Fiorentina,Torino FC,,
565792,Bundesliga,BL1,2026-09-05T13:30:00Z,TIMED,Borussia Mönchengladbach,SV 07 Elversberg,,
565787,Bundesliga,BL1,2026-09-05T13:30:00Z,TIMED,TSG 1899 Hoffenheim,Borussia Dortmund,,
565785,Bundesliga,BL1,2026-09-05T13:30:00Z,TIMED,SV Werder Bremen,RB Leipzig,,
565793,Bundesliga,BL1,2026-09-05T13:30:00Z,TIMED,SC Paderborn 07,SC Freiburg,,
565790,Bundesliga,BL1,2026-09-05T13:30:00Z,TIMED,Bayer 04 Leverkusen,1. FC Union Berlin,,
560568,Premier League,PL,2026-09-05T14:00:00Z,TIMED,Fulham FC,Crystal Palace FC,,
560563,Premier League,PL,2026-09-05T14:00:00Z,TIMED,Manchester City FC,Coventry City FC,,
560565,Premier League,PL,2026-09-05T14:00:00Z,TIMED,Brentford FC,Sunderland AFC,,
560562,Premier League,PL,2026-09-05T14:00:00Z,TIMED,Nottingham Forest FC,Tottenham Hotspur FC,,
560564,Premier League,PL,2026-09-05T14:00:00Z,TIMED,Brighton & Hove Albion FC,Leeds United FC,,
564663,Primera Division,PD,2026-09-05T14:15:00Z,TIMED,Athletic Club,Club Atlético de Madrid,,
559695,Ligue 1,FL1,2026-09-05T15:15:00Z,TIMED,Racing Club de Lens,FC Lorient,,
558614,Serie A,SA,2026-09-05T16:00:00Z,TIMED,FC Internazionale Milano,SSC Napoli,,
564660,Primera Division,PD,2026-09-05T16:30:00Z,TIMED,Rayo Vallecano de Madrid,Real Racing Club de Santander,,
565789,Bundesliga,BL1,2026-09-05T16:30:00Z,TIMED,FC Schalke 04,FC Bayern München,,
560569,Premier League,PL,2026-09-05T16:30:00Z,TIMED,Hull City AFC,Aston Villa FC,,
558611,Serie A,SA,2026-09-05T18:45:00Z,TIMED,AS Roma,Atalanta BC,,
559693,Ligue 1,FL1,2026-09-05T18:45:00Z,TIMED,Le Havre AC,Stade Brestois 29,,
559701,Ligue 1,FL1,2026-09-05T18:45:00Z,TIMED,OGC Nice,Le Mans FC,,
564662,Primera Division,PD,2026-09-05T19:00:00Z,TIMED,Villarreal CF,RC Deportivo La Coruña,,
560567,Premier League,PL,2026-09-06T13:00:00Z,TIMED,Everton FC,Manchester United FC,,
559700,Ligue 1,FL1,2026-09-06T13:00:00Z,TIMED,ES Troyes AC,RC Strasbourg Alsace,,
558612,Serie A,SA,2026-09-06T13:00:00Z,TIMED,Parma Calcio 1913,AC Monza,,
558615,Serie A,SA,2026-09-06T13:00:00Z,TIMED,Frosinone Calcio,Venezia FC,,
565788,Bundesliga,BL1,2026-09-06T13:30:00Z,TIMED,Hamburger SV,1. FSV Mainz 05,,
564659,Primera Division,PD,2026-09-06T14:15:00Z,TIMED,Valencia CF,FC Barcelona,,
559698,Ligue 1,FL1,2026-09-06T15:15:00Z,TIMED,Angers SCO,Stade Rennais FC 1901,,
565786,Bundesliga,BL1,2026-09-06T15:30:00Z,TIMED,Eintracht Frankfurt,FC Augsburg,,
560570,Premier League,PL,2026-09-06T15:30:00Z,TIMED,Arsenal FC,Chelsea FC,,
558613,Serie A,SA,2026-09-06T16:00:00Z,TIMED,Bologna FC 1909,US Sassuolo Calcio,,
564666,Primera Division,PD,2026-09-06T16:30:00Z,TIMED,Málaga CF,Levante UD,,
564664,Primera Division,PD,2026-09-06T16:30:00Z,TIMED,Deportivo Alavés,CA Osasuna,,
559694,Ligue 1,FL1,2026-09-06T18:45:00Z,TIMED,Olympique de Marseille,Paris FC,,
558618,Serie A,SA,2026-09-06T18:45:00Z,TIMED,Juventus FC,AC Milan,,
564661,Primera Division,PD,2026-09-06T19:00:00Z,TIMED,RCD Espanyol de Barcelona,Sevilla FC,,
558610,Serie A,SA,2026-09-07T16:30:00Z,TIMED,Cagliari Calcio,US Lecce,,
564665,Primera Division,PD,2026-09-07T17:00:00Z,TIMED,Getafe CF,RC Celta de Vigo,,
558617,Serie A,SA,2026-09-07T18:45:00Z,TIMED,Udinese Calcio,SS Lazio,,
564658,Primera Division,PD,2026-09-07T19:30:00Z,TIMED,Elche CF,Real Sociedad de Fútbol,,
575324,UEFA Champions League,CL,2026-09-08T16:45:00Z,TIMED,PAE AEK,LASK Linz,,
575323,UEFA Champions League,CL,2026-09-08T16:45:00Z,TIMED,Club Brugge KV,Aston Villa FC,,
575328,UEFA Champions League,CL,2026-09-08T19:00:00Z,TIMED,Lille OSC,Real Betis Balompié,,
575326,UEFA Champions League,CL,2026-09-08T19:00:00Z,TIMED,FC Porto,Manchester City FC,,
575325,UEFA Champions League,CL,2026-09-08T19:00:00Z,TIMED,Real Madrid CF,FC Internazionale Milano,,
575327,UEFA Champions League,CL,2026-09-08T19:00:00Z,TIMED,Borussia Dortmund,Villarreal CF,,
575330,UEFA Champions League,CL,2026-09-09T16:45:00Z,TIMED,VfB Stuttgart,Viking FK,,
575329,UEFA Champions League,CL,2026-09-09T16:45:00Z,TIMED,FC Barcelona,Feyenoord Rotterdam,,
575334,UEFA Champions League,CL,2026-09-09T19:00:00Z,TIMED,Sporting Clube de Portugal,Galatasaray SK,,
575332,UEFA Champions League,CL,2026-09-09T19:00:00Z,TIMED,Paris Saint-Germain FC,ŠK Slovan Bratislava,,
575331,UEFA Champions League,CL,2026-09-09T19:00:00Z,TIMED,Liverpool FC,Club Atlético de Madrid,,
575333,UEFA Champions League,CL,2026-09-09T19:00:00Z,TIMED,SSC Napoli,Arsenal FC,,
575336,UEFA Champions League,CL,2026-09-10T16:45:00Z,TIMED,PSV,FK Shakhtar Donetsk,,
575335,UEFA Champions League,CL,2026-09-10T16:45:00Z,TIMED,Fenerbahçe SK,AS Roma,,
575338,UEFA Champions League,CL,2026-09-10T19:00:00Z,TIMED,Manchester United FC,Sabah FK,,
575340,UEFA Champions League,CL,2026-09-10T19:00:00Z,TIMED,SK Slavia Praha,Racing Club de Lens,,
575337,UEFA Champions League,CL,2026-09-10T19:00:00Z,TIMED,FC Bayern München,FK Bodø/Glimt,,
575339,UEFA Champions League,CL,2026-09-10T19:00:00Z,TIMED,Como 1907,RB Leipzig,,
565797,Bundesliga,BL1,2026-09-11T18:30:00Z,TIMED,1. FC Union Berlin,FC Schalke 04,,
558606,Serie A,SA,2026-09-11T18:45:00Z,TIMED,Venezia FC,ACF Fiorentina,,
559689,Ligue 1,FL1,2026-09-11T18:45:00Z,TIMED,Stade Rennais FC 1901,Olympique de Marseille,,
564669,Primera Division,PD,2026-09-11T19:00:00Z,TIMED,Sevilla FC,Valencia CF,,
