prediction_id,generated_utc,match_id,competition,home_team,away_team,kickoff_utc,market,model_probability,market_odds,market_implied_probability,estimated_edge,home_xg,away_xg,expected_corners,expected_cards,model_version,home_score,away_score,correct
303ef1c2,2026-09-03T09:05:13.222552,565791,Bundesliga,VfB Stuttgart,1. FC Köln,2026-09-04T18:30:00Z,1X2 - Home,0.567,1.59,0.6289,-0.0619,2.93,2.02,10.3,4.27,poisson_baseline_v0,4.0,1.0,True
02a02a11,2026-09-03T09:05:13.222552,565791,Bundesliga,VfB Stuttgart,1. FC Köln,2026-09-04T18:30:00Z,1X2 - Draw,0.171,5.1,0.1961,-0.0251,2.93,2.02,10.3,4.27,poisson_baseline_v0,4.0,1.0,False
78d6a529,2026-09-03T09:05:13.222552,565791,Bundesliga,VfB Stuttgart,1. FC Köln,2026-09-04T18:30:00Z,1X2 - Away,0.2585,6.0,0.1667,0.0918,2.93,2.02,10.3,4.27,poisson_baseline_v0,4.0,1.0,False
0c077151,2026-09-03T09:05:13.222552,565791,Bundesliga,VfB Stuttgart,1. FC Köln,2026-09-04T18:30:00Z,Over 2.5 goals,0.868,2.02,0.495,0.373,2.93,2.02,10.3,4.27,poisson_baseline_v0,4.0,1.0,True
aad6398d,2026-09-03T09:05:13.222552,565791,Bundesliga,VfB Stuttgart,1. FC Köln,2026-09-04T18:30:00Z,Under 2.5 goals,0.132,3.1,0.3226,-0.1906,2.93,2.02,10.3,4.27,poisson_baseline_v0,4.0,1.0,False
d51c6c5b,2026-09-03T09:05:13.222552,558609,Serie A,Genoa CFC,Como 1907,2026-09-04T18:45:00Z,1X2 - Home,0.0875,,,,0.44,1.74,8.13,2.6,poisson_baseline_v0,1.0,4.0,False
155d6432,2026-09-03T09:05:13.222552,558609,Serie A,Genoa CFC,Como 1907,2026-09-04T18:45:00Z,1X2 - Draw,0.2182,,,,0.44,1.74,8.13,2.6,poisson_baseline_v0,1.0,4.0,False
e3c665a2,2026-09-03T09:05:13.222552,558609,Serie A,Genoa CFC,Como 1907,2026-09-04T18:45:00Z,1X2 - Away,0.6942,,,,0.44,1.74,8.13,2.6,poisson_baseline_v0,1.0,4.0,True
c2892840,2026-09-03T09:05:13.222552,558609,Serie A,Genoa CFC,Como 1907,2026-09-04T18:45:00Z,Over 2.5 goals,0.3701,,,,0.44,1.74,8.13,2.6,poisson_baseline_v0,1.0,4.0,True
35068373,2026-09-03T09:05:13.222552,558609,Serie A,Genoa CFC,Como 1907,2026-09-04T18:45:00Z,Under 2.5 goals,0.6299,,,,0.44,1.74,8.13,2.6,poisson_baseline_v0,1.0,4.0,False
